actress	n	player	OmegaWiki_eng_hypernym
actress	n	woman	OmegaWiki_eng_hypernym
actress	n	work	OmegaWiki_eng_related
addition	n	arithmetic	OmegaWiki_eng_related
addition	n	arithmetics	OmegaWiki_eng_related
addition	n	math	OmegaWiki_eng_related
addition	n	mathematics	OmegaWiki_eng_related
addition	n	maths	OmegaWiki_eng_related
administration	n	Antarctic Ocean	OmegaWiki_eng_narrower_terms
administration	n	Great Southern Ocean	OmegaWiki_eng_narrower_terms
administration	n	South Polar Ocean	OmegaWiki_eng_narrower_terms
administration	n	Southern Ocean	OmegaWiki_eng_narrower_terms
administration	n	administrative ability	OmegaWiki_eng_narrower_terms
administration	n	administrative body	OmegaWiki_eng_narrower_terms
administration	n	administrative competence	OmegaWiki_eng_narrower_terms
administration	n	administrative organ	OmegaWiki_eng_narrower_terms
administration	n	administrative procedure	OmegaWiki_eng_narrower_terms
administration	n	direction	OmegaWiki_eng_related
administration	n	direction	OmegaWiki_eng_synset
administration	n	legislative procedure	OmegaWiki_eng_narrower_terms
administration	n	management	OmegaWiki_eng_related
administration	n	management	OmegaWiki_eng_synset
administration	n	public function	OmegaWiki_eng_narrower_terms
adult	n	human	OmegaWiki_eng_hypernym
adult	n	human being	OmegaWiki_eng_hypernym
adult	n	human health	OmegaWiki_eng_related
adult	n	man	OmegaWiki_eng_hypernym
adult	n	population	OmegaWiki_eng_related
adult	n	population structure	OmegaWiki_eng_hypernym
adult	n	social aspects	OmegaWiki_eng_related
adult	n	social aspects, population	OmegaWiki_eng_related
advantage	n	behoof	OmegaWiki_eng_synset
advantage	n	benefit	OmegaWiki_eng_synset
advantage	n	gain	OmegaWiki_eng_synset
advantage	n	profit	OmegaWiki_eng_synset
advertising	n	advertisement	OmegaWiki_eng_synset
advertising	n	info	OmegaWiki_eng_related
advertising	n	information	OmegaWiki_eng_related
advertising	n	marketing	OmegaWiki_eng_hypernym
advertising	n	population	OmegaWiki_eng_related
advertising	n	product advertising	OmegaWiki_eng_narrower_terms
advertising	n	promotion	OmegaWiki_eng_synset
advertising	n	public information	OmegaWiki_eng_hypernym
advertising	n	social aspects	OmegaWiki_eng_related
advertising	n	social aspects, population	OmegaWiki_eng_related
age	n	biological development	OmegaWiki_eng_hypernym
age	n	biological science	OmegaWiki_eng_related
age	n	biology	OmegaWiki_eng_related
age	n	history	OmegaWiki_eng_related
age	n	human health	OmegaWiki_eng_related
age	n	juvenesence	OmegaWiki_eng_narrower_terms
age	n	period	OmegaWiki_eng_synset
age	n	population	OmegaWiki_eng_related
age	n	social aspects	OmegaWiki_eng_related
age	n	social aspects, population	OmegaWiki_eng_related
age	n	time	OmegaWiki_eng_related
age	n	youth	OmegaWiki_eng_narrower_terms
agreement	n	EC Treaty	OmegaWiki_eng_narrower_terms
agreement	n	accordance	OmegaWiki_eng_synset
agreement	n	administration	OmegaWiki_eng_related
agreement	n	administrative procedure	OmegaWiki_eng_hypernym
agreement	n	civil law	OmegaWiki_eng_hypernym
agreement	n	commercial transaction	OmegaWiki_eng_hypernym
agreement	n	concordance	OmegaWiki_eng_synset
agreement	n	consonance	OmegaWiki_eng_synset
agreement	n	convention	OmegaWiki_eng_related_terms
agreement	n	direction	OmegaWiki_eng_related
agreement	n	economic science	OmegaWiki_eng_related
agreement	n	economics	OmegaWiki_eng_related
agreement	n	judicial system	OmegaWiki_eng_hypernym
agreement	n	law	OmegaWiki_eng_hypernym
agreement	n	legislation	OmegaWiki_eng_related
agreement	n	management	OmegaWiki_eng_related
agreement	n	public contract	OmegaWiki_eng_narrower_terms
aid	n	assist	OmegaWiki_eng_synset
aid	n	help	OmegaWiki_eng_synset
aid	n	ministration	OmegaWiki_eng_synset
aid	n	relief	OmegaWiki_eng_synset
aid	n	succor	OmegaWiki_eng_synset
aid	n	succour	OmegaWiki_eng_synset
air	n	air out	OmegaWiki_eng_synset
air	n	appearance	OmegaWiki_eng_synset
air	n	atmosphere	OmegaWiki_eng_hypernym
air	n	atmospheric composition	OmegaWiki_eng_narrower_terms
air	n	aviation	OmegaWiki_eng_related
air	n	bearing	OmegaWiki_eng_synset
air	n	broadcast	OmegaWiki_eng_synset
air	n	demeanor	OmegaWiki_eng_synset
air	n	demeanour	OmegaWiki_eng_synset
air	n	gas	OmegaWiki_eng_hypernym
air	n	intransitive verb	OmegaWiki_eng_related
air	n	line	OmegaWiki_eng_synset
air	n	look	OmegaWiki_eng_synset
air	n	melodic line	OmegaWiki_eng_synset
air	n	melodic phrase	OmegaWiki_eng_synset
air	n	melody	OmegaWiki_eng_synset
air	n	mien	OmegaWiki_eng_synset
air	n	music	OmegaWiki_eng_related
air	n	send	OmegaWiki_eng_synset
air	n	sky	OmegaWiki_eng_synset
air	n	strain	OmegaWiki_eng_synset
air	n	transitive verb	OmegaWiki_eng_related
air	n	transmit	OmegaWiki_eng_synset
air	n	tune	OmegaWiki_eng_synset
air	n	ventilate	OmegaWiki_eng_synset
aircraft	n	aeroplane	OmegaWiki_eng_synset
aircraft	n	air transportation	OmegaWiki_eng_related
aircraft	n	airplane	OmegaWiki_eng_synset
aircraft	n	aviation	OmegaWiki_eng_related
aircraft	n	noise	OmegaWiki_eng_related
aircraft	n	noise, vibrations	OmegaWiki_eng_related
aircraft	n	pollution	OmegaWiki_eng_related
aircraft	n	racket	OmegaWiki_eng_related
aircraft	n	transport	OmegaWiki_eng_related
aircraft	n	vehicle	OmegaWiki_eng_hypernym
airport	n	air traffic	OmegaWiki_eng_related_terms
airport	n	aviation	OmegaWiki_eng_related
airport	n	building	OmegaWiki_eng_related
airport	n	traffic infrastructure	OmegaWiki_eng_hypernym
airport	n	transport	OmegaWiki_eng_related
amount	n	quantity	OmegaWiki_eng_synset
amount	n	sum	OmegaWiki_eng_synset
amount	n	verb	OmegaWiki_eng_related
